Url;Name;Qnt.;(Product + Ship);USD(5,14 R$)
https://www.santoantoniodist.com.br/eletrodo3m/prod-9760997/;Eletrodo 3M;1x50;R$ 37,90 + R$ 24,20;USD $12,08
https://shop.neurospec.com/1-5mm-touchproof-female-to-open-lead-cable-5-pack;1.5mm Touch-Proof (TP) Female to Open Lead Cable (5/pack);2x5;R$ 413,81 + R$ 283,75;USD $135,70
br.mouser.com;ADS1299-4PAGR;1x1;;Mouser Cart:   $79.85
www.digikey.com.br;Push Button;1x1;;DigiKey Cart: $46,83
br.mouser.com;Header 1x08;1x1;;Mouser Cart:   $79.85
br.mouser.com;LEDs 0805;1x2;;Mouser Cart:   $79.85
www.digikey.com.br;0805 Resistors;1x11;;DigiKey Cart: $46,83
www.digikey.com.br;1µF 0603 capacitor;1x1;;DigiKey Cart: $46,83
www.digikey.com.br;100nF 0603 capacitor;1x5;;DigiKey Cart: $46,83
www.digikey.com.br;10µF 1206 capacitor;1x6;;DigiKey Cart: $46,83
Total: $274,46;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
